EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_LAT,BEGIN_LON
5589729,TENNESSEE,47,1997,January,Tornado,6,0,0,0,1M,,,,F2,14,440,36.12,-86.03
5619417,COLORADO,8,1997,June,Lightning,1,0,0,0,0,0,,,,,,,
5587359,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,.9M,,,,,,,,
5618632,NEW YORK,36,1997,June,Lightning,1,0,0,0,,,,,,,,,
5615204,MASSACHUSETTS,25,1997,June,Lightning,1,0,0,0,,,,,,,,,
5590825,ILLINOIS,17,1997,January,Heavy Snow,1,0,0,0,,0,,,,,,,
5617006,FLORIDA,12,1997,June,Lightning,1,0,0,0,,,,,,,,,
5615713,FLORIDA,12,1997,June,Lightning,1,0,0,0,10K,0,,,,,,,
5587133,NORTH DAKOTA,38,1997,January,Blizzard,6,0,0,0,1.53M,,,,,,,,
5587134,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,1.53M,,,,,,,,
5587139,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,1.53M,,,,,,,,
5587140,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,1.53M,,,,,,,,
5587141,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,1.53M,,,,,,,,
5587142,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,1.53M,,,,,,,,
5587662,LOUISIANA,22,1997,January,Lightning,1,0,0,0,0K,0K,,,,,,,
5587959,ALABAMA,1,1997,January,Lightning,1,0,0,0,10K,0K,,,,,,,
5604705,SOUTH CAROLINA,45,1997,June,Lightning,1,0,0,0,,,,,,,,,
5607398,COLORADO,8,1997,June,Lightning,1,0,0,0,,0,,,,,,,
